id	x	y	dist	direct	displacement_ratio	duration	rad_avg	curvature	label	type	PCA1	PCA2
518	276490.51266987185	3959168.9463141025	106558.04579019627	29202.413923511263	0.2740517030596482	12.9584	4471.237434387854	0.9346407205435531	1	Type A (Advective)	1.9707393848977304	-1.4024998748878654
519	277467.13415549597	3960191.6266756034	96113.7715501066	28420.82835492036	0.29569985545831845	15.5001	3541.232328435115	0.9516987769580413	1	Type A (Advective)	2.133295508189524	-0.8472649662063689
520	275340.0939320389	3960565.8942441056	63756.31794079277	10578.315069212293	0.1659179107400122	29.9999	1647.8607651961224	1.4349130547405582	1	Type A (Advective)	0.9285035323808156	4.195308360369885
521	274224.38972435903	3962579.029647436	140401.53480745948	25690.666132547536	0.18297995223327573	25.9583	3462.6798913167545	1.2216812453578663	2	Type B (Loop)	0.04033754652469796	1.2857440097507395
522	275917.0833030303	3959643.7567340066	84115.41526336712	24357.537578647512	0.2895728149517369	12.3334	3864.202201913346	1.0914248929122685	1	Type A (Advective)	2.618117842635295	-0.06472433543045901
523	276498.49092592596	3956199.877314815	116945.02721573309	28736.856046124984	0.245729611000158	13.4584	4819.005259797571	1.0252332048023722	1	Type A (Advective)	1.6299124785487122	-0.9258982035968333
524	275307.4059791956	3965822.6868932038	112407.37912334784	7060.270706851396	0.06280967283388005	29.9999	3106.5103791859465	1.1529785242659198	2	Type B (Loop)	-0.8041853878330035	1.7407406597537813
525	276297.2772352941	3959105.438854489	99596.91989528264	26975.851384473655	0.27085025734567275	13.4167	3682.3190260394204	0.9324615314258033	1	Type A (Advective)	2.071257590458118	-1.0852056545071895
526	275269.4311161417	3959011.884350394	170816.31243312667	24246.37752612923	0.14194415732760596	21.125	4383.125458291257	0.8867762972542805	2	Type B (Loop)	-0.5756390353196872	-1.5726681128095823
527	277227.6524910714	3959731.5989583335	168017.26009897655	28652.415476257574	0.17053257182850648	27.9582	2727.6410418960922	1.0781389476914809	2	Type B (Loop)	-0.6454002353086269	0.4349768293830772
528	277507.451016092	3959245.173563218	153061.5488419295	29258.080935142287	0.19115239037178333	18.0834	7142.258423176044	0.9057265341669102	0	Type C (Spreading)	0.042285000294840086	-2.362008884992928
529	277761.4469418182	3957622.460909091	63996.86399129272	27479.903660108368	0.42939453507983183	11.4167	4135.165097188833	1.0900540878960816	1	Type A (Advective)	3.9194475539821405	-0.3641755652161285
530	278001.0815747508	3959982.485049834	90989.89621347649	29339.130196087433	0.3224438252710307	12.5001	3757.4281614959873	1.013262643091966	1	Type A (Advective)	2.686643841849879	-0.6822661746243903
531	274988.84377870214	3959030.5657237936	205320.79963293415	27615.46492424281	0.13449911053148458	25.0	3833.058006772187	0.9423463455074009	2	Type B (Loop)	-1.3439076762591755	-1.1852854192771163
532	274075.91156588076	3963983.2475728155	97076.35162468499	13267.192633596978	0.1366676065957895	29.9999	3411.011707591814	1.1794498785531105	2	Type B (Loop)	-0.08960422119172885	1.7809669440943263
533	281972.8809570042	3963907.9882108183	158383.75202536778	13115.508799223155	0.08280842341152828	29.9999	6744.293623179896	1.0087014516251187	2	Type B (Loop)	-1.73094889076065	-0.7619442565280723
534	276687.3000859917	3959951.323855756	183285.2843990348	15313.103182507619	0.08354791402221409	29.9999	3001.487326726643	1.0925731564942356	2	Type B (Loop)	-1.6529760127580817	0.6246359380943692
535	274701.0907115118	3963231.9552704575	101484.28358004607	10390.860403689454	0.10238886295623921	29.9999	2513.476559866638	1.2571276351104756	2	Type B (Loop)	-0.24371081638324787	2.589438499447622
536	274844.3712195122	3963669.861111111	91709.24557253263	24983.746812928228	0.27242342532595193	15.3334	4392.587412779326	1.1075919552257318	1	Type A (Advective)	2.092990421921048	0.0026062856756306815
537	278359.52095006936	3961717.694174757	141138.3389942558	9007.096813069127	0.06381750612380174	29.9999	2076.2978703049607	1.1798290447244417	2	Type B (Loop)	-1.0686595587079055	1.9272103064542607
538	275786.27726915886	3957465.939719626	188528.96681221132	26194.715643140724	0.13894265738608	22.25	6578.851359160949	0.8817967000574161	2	Type B (Loop)	-1.1395541206255064	-2.3601917324001893
539	277330.8147954023	3959120.0942528737	120854.05151495991	27331.754427371194	0.22615505301440336	18.0834	4057.7345255571504	0.9010135713919363	1	Type A (Advective)	0.9968830027339898	-1.2604609209455588
540	276400.6294662577	3958351.311349693	111910.03407068015	29612.73779417832	0.26461199873708824	13.5417	4491.1856347413695	0.9850801706483575	1	Type A (Advective)	1.819429885640385	-1.0834270418476921
541	278207.60584673367	3960986.9290201003	127354.2048468474	25293.111697124365	0.1986044491231456	16.5417	7273.541804982791	0.9809906354788052	0	Type C (Spreading)	0.6266917532137396	-1.7568210038050385
542	274617.56909735745	3965573.33310153	151503.12506834997	24680.628408492463	0.16290507801312948	29.9165	3743.6243066003153	1.106500045621366	2	Type B (Loop)	-0.7210286584836444	0.600869433524838
543	275370.7709955291	3957500.2660208642	282960.10001506965	26363.209297695244	0.09316935248570811	27.9166	6492.575302916226	0.8535785312206248	2	Type B (Loop)	-3.2514869760011558	-3.053905530560305
544	273771.3773479532	3963931.0701754387	143545.19643452446	26609.00369306191	0.18537021338222992	28.4582	2996.760869283863	1.2061643835451388	2	Type B (Loop)	-0.17891871040098917	1.4088084165877974
545	278522.8802857143	3961483.718446602	155662.78068635165	3722.9104341186003	0.023916509892110784	29.9999	3139.161372030638	1.0499300222560481	2	Type B (Loop)	-1.7433194987354619	0.7403115136470675
546	274639.09000277397	3966021.1612343965	100188.5298813509	12970.686355426076	0.129462787514566	29.9999	3616.905545013669	1.2241869257905955	2	Type B (Loop)	-0.16453266797288224	1.9963860958622859
547	280799.34027515724	3962304.316037736	145451.68840828538	29140.54564605319	0.20034518653544384	26.4583	4896.399773518431	1.0382818656530939	2	Type B (Loop)	-0.22917355243523357	-0.3848358285137638
548	274436.83108345984	3958134.4051593323	227058.68812610928	27478.68783257311	0.12102019992871331	27.4166	3213.4452088178987	0.9082789524214888	2	Type B (Loop)	-1.9175546554051817	-1.2838639331051
549	275232.31085020804	3967405.83148405	129404.03618827922	19863.302949027304	0.1534983261273764	29.9999	4323.271657391967	1.1102586400761913	2	Type B (Loop)	-0.5462292718555215	0.7035107351649336
550	282503.5286019417	3965238.297156727	138242.02391311107	9162.37690031693	0.0662777977417036	29.9999	3773.1638230137287	1.0552008714881733	2	Type B (Loop)	-1.2670836790658013	0.6507684531605247
551	275531.6195770548	3958238.3510273974	201306.17987357592	26545.845899016607	0.131868012773815	24.2916	4361.159268035243	0.8176833900999356	2	Type B (Loop)	-1.3930217364854178	-2.130291169607302
552	277561.67983911233	3960509.251040222	181326.16687975527	14368.723314923873	0.07924241471696887	29.9999	3323.1460303310796	0.9349524479225133	2	Type B (Loop)	-1.8124477314288834	-0.4528528313150517
553	278934.10272538144	3961622.557212205	186531.32185664144	14470.4856909145	0.07757670694059512	29.9999	5472.492687157602	0.9757727513878016	2	Type B (Loop)	-2.0570492033345826	-0.8671642241626063
554	276477.57164333336	3959309.716666667	92286.46817098605	27471.219485294238	0.29767332123271045	12.4584	3707.6450175450022	1.081521622815324	1	Type A (Advective)	2.559663590998065	-0.1787300430272694
555	275153.4273730834	3957976.995315162	231952.0919055214	26902.22631856378	0.11598182235632339	24.4166	4206.952282657235	0.806177642191658	2	Type B (Loop)	-1.9227256500004988	-2.415806742212054
556	274409.46375387	3966043.884287926	134250.65054548153	25052.498516450556	0.18660988542445275	26.8749	4497.067072965798	1.097783588469912	2	Type B (Loop)	-0.1271761018971272	0.28274278581196677
557	276112.52425207756	3959853.058171745	109456.79731893812	27130.30642993339	0.24786314869857176	15.0001	3496.6916923234653	1.0159400323100902	1	Type A (Advective)	1.72067299595323	-0.4531571995612088
558	274455.2400167173	3963313.0189969605	129793.9610717354	25318.638453222586	0.19506792337764706	27.3749	2644.8406344404198	1.2056762917843407	2	Type B (Loop)	0.20232592668986227	1.5662928266055103
559	274237.2052430556	3958488.002314815	199082.06500692997	23930.53374591935	0.12020436770678633	17.9584	4976.695509307009	0.9366809852741736	2	Type B (Loop)	-0.8385146252251614	-1.8063304118725811
560	276807.3860830861	3959592.681750742	112992.97322027534	30123.23227527359	0.2665938546156276	14.0001	4240.796483988568	0.9609701482604585	1	Type A (Advective)	1.7811040279372572	-1.1584104087413463
561	278165.7013536585	3959041.686585366	113632.13526457563	27030.930734435413	0.23788104193851403	17.0417	4473.930867453409	1.0444270155854536	1	Type A (Advective)	1.3462414173521038	-0.4703302553036904
562	279859.6676948682	3962648.305478502	142808.92179414173	6800.791048214063	0.04762161189072883	29.9999	4710.853933496632	1.1076446275719478	2	Type B (Loop)	-1.5018275027622272	0.7169137198305987
563	274352.39350208046	3964070.5762829403	96748.2346778004	10338.026158530522	0.10685493324978113	29.9999	1944.157016581195	1.2388099625760687	2	Type B (Loop)	-0.11169812222285389	2.6737219973906585
564	275825.38084743416	3958851.852635229	318219.843767948	15690.472760663555	0.04930702175853417	29.9999	5196.52553617301	0.7851505021829642	2	Type B (Loop)	-4.155104992651922	-3.2467646061246027
565	277399.76608361205	3956579.0911371238	83229.77013570751	28994.70194303823	0.3483693622577822	12.4167	3828.3646733573246	1.0484418691182686	1	Type A (Advective)	3.0010205645776242	-0.47158620323052436
566	276261.575115192	3957875.6844741236	209798.7573726841	27337.371878624795	0.1303028302978125	24.9166	5041.8351938964715	0.8804294716796701	2	Type B (Loop)	-1.5857536072504947	-1.9753057162795222
567	280001.4326185853	3961369.157073509	120201.88501988261	12809.53381823964	0.10656682976411572	29.9999	4319.493612261792	1.1296739106192017	2	Type B (Loop)	-0.7333971531685575	1.0436630279042143
568	276030.5350759804	3958355.8284313725	124449.6742849418	26516.584647926004	0.21307074365830195	16.9584	3678.6109052589095	0.9835274509874846	1	Type A (Advective)	1.0586734813940457	-0.6758401775623203
569	278449.6246735905	3961077.2737388723	104133.70395067078	28420.841047804777	0.2729264394673604	14.0001	3991.378772050696	1.0825786831287196	1	Type A (Advective)	2.0648717037417277	-0.23159362817084408
570	276809.68482153845	3959432.502307692	99157.04001214958	28581.76463783336	0.28824745710774824	13.5001	4004.81060789715	1.0046855745711067	1	Type A (Advective)	2.219574505226806	-0.7520375314675996
571	275313.3927960526	3959384.1138980263	200591.96161529422	25526.429577505285	0.1272554960425643	25.2916	3901.4144367526887	0.8563922161251867	2	Type B (Loop)	-1.4320246336277938	-1.6778930280686093
572	276380.6408417509	3959606.2693602694	94935.16930301242	24671.414158489377	0.2598764434678953	12.3334	3684.368287838897	1.1167933905779432	1	Type A (Advective)	2.3022607488328166	0.12134030872199872
573	282393.5127170597	3961945.2981969486	157923.95715508692	15989.844810457043	0.10125027955546004	29.9999	6539.161404545505	1.1722543452326033	2	Type B (Loop)	-1.4462548869357321	0.3066317355565757
574	278051.2743231623	3960979.2465325934	145258.45415285084	8464.450101178722	0.05827165207383971	29.9999	3310.6715391801004	1.0416084063105453	2	Type B (Loop)	-1.3861489023310172	0.6500389953187937
575	275199.4954131833	3965934.814710611	129600.252034789	26169.789466659015	0.20192699516999532	25.8749	4421.126730699729	1.0923729174005146	2	Type B (Loop)	0.1341552531875405	0.2267548068465682
576	278948.525392	3960562.3396	147290.27475196176	28840.86892809795	0.19580972998160437	25.9999	4008.101669390994	1.2583823461211479	2	Type B (Loop)	0.013069603544372366	1.2621682524753002
577	279081.9017292225	3960863.957774799	91980.01189177975	27143.608317398357	0.29510333559572177	15.5001	3509.9605631003487	1.064850954909396	1	Type A (Advective)	2.2785043764589363	-0.06756338960041637
578	277490.94192926487	3959121.294036061	175133.9371406493	12056.859334005685	0.06884364921416045	29.9999	3616.6725219171494	1.1678667162833454	2	Type B (Loop)	-1.6412268165947554	1.0482375953417145
579	276396.1039808307	3958934.378594249	103562.91373467325	27189.11169086045	0.26253714491384994	13.0001	3991.9251112271095	1.004496407574593	1	Type A (Advective)	2.0268401593394456	-0.7507834416085737
580	276652.050887574	3959957.8868343197	94615.62163769495	28831.39188765608	0.30472126471945754	14.0417	3517.605359949841	0.9846848342013642	1	Type A (Advective)	2.375375391340479	-0.709129657578613
581	275318.66141331487	3966082.8599167825	98419.74783239546	12452.644682133568	0.1265258746988448	29.9999	3880.119418129937	1.1406692425789353	2	Type B (Loop)	-0.2522072120641885	1.4072596706775446
582	277541.7835256849	3959902.26369863	132997.5978782422	25376.576669676346	0.1908047744810272	24.2916	3215.590035225845	1.050081637352692	2	Type B (Loop)	0.22829351394458094	0.2246803802214843
